rank,file,t_sec,score,U,A,D,n_boxes,n_ambiguous,empty,selected
1,frame_0009.jpg,3.6,0.7,0.0,0.0,1.0,0,0,True,True
2,frame_0012.jpg,4.8,0.7,0.0,0.0,1.0,0,0,True,False
3,frame_0209.jpg,83.6,0.6969,0.9858,0.2,0.72,1,1,False,True
4,frame_0028.jpg,11.2,0.6439,0.7678,0.2,1.0,1,1,False,True
5,frame_0376.jpg,150.4,0.6402,0.6164,1.0,0.16,6,5,False,True
6,frame_0033.jpg,13.2,0.6399,0.3997,0.8,1.0,6,4,False,True
7,frame_0069.jpg,27.6,0.5891,0.5382,0.4,1.0,2,2,False,True
8,frame_0070.jpg,28.0,0.5584,0.3568,0.6,1.0,4,3,False,False
9,frame_0387.jpg,154.8,0.556,0.4319,1.0,0.2,7,5,False,True
10,frame_0001.jpg,0.4,0.5544,0.4687,0.4,1.0,3,2,False,True
11,frame_0021.jpg,8.4,0.5534,0.4669,0.4,1.0,2,2,False,True
12,frame_0124.jpg,49.6,0.5482,0.4643,0.6,0.68,4,3,False,True
13,frame_0031.jpg,12.4,0.5338,0.3076,0.6,1.0,6,3,False,False
14,frame_0125.jpg,50.0,0.5297,0.4115,0.6,0.72,3,3,False,False
15,frame_0367.jpg,146.8,0.5292,0.4263,1.0,0.08,7,5,False,True
16,frame_0073.jpg,29.2,0.5246,0.2892,0.6,1.0,5,3,False,False
17,frame_0029.jpg,11.6,0.5171,0.3943,0.4,1.0,3,2,False,False
18,frame_0272.jpg,108.8,0.516,0.0,0.0,0.08,0,0,True,True
19,frame_0375.jpg,150.0,0.5042,0.4484,0.8,0.2,6,4,False,False
20,frame_0289.jpg,115.6,0.5032,0.3424,0.6,0.76,5,3,False,False
21,frame_0128.jpg,51.2,0.5011,0.4263,0.4,0.84,3,2,False,False
22,frame_0018.jpg,7.2,0.4951,0.4702,0.2,1.0,1,1,False,False
23,frame_0072.jpg,28.8,0.4928,0.3456,0.4,1.0,4,2,False,False
24,frame_0184.jpg,73.6,0.4916,0.5912,0.6,0.08,3,3,False,False
25,frame_0276.jpg,110.4,0.4916,0.4073,0.8,0.24,4,4,False,False
26,frame_0131.jpg,52.4,0.4903,0.3565,0.4,0.96,3,2,False,False
27,frame_0126.jpg,50.4,0.4728,0.2817,0.6,0.76,5,3,False,False
28,frame_0129.jpg,51.6,0.4709,0.3499,0.4,0.88,3,2,False,False
29,frame_0288.jpg,115.2,0.4686,0.4092,0.4,0.72,4,2,False,False
30,frame_0019.jpg,7.6,0.4652,0.4104,0.2,1.0,1,1,False,False
31,frame_0210.jpg,84.0,0.4637,0.5354,0.2,0.68,2,1,False,False
32,frame_0286.jpg,114.4,0.4582,0.3004,0.6,0.64,5,3,False,False
33,frame_0020.jpg,8.0,0.4495,0.379,0.2,1.0,1,1,False,False
34,frame_0008.jpg,3.2,0.4492,0.3784,0.2,1.0,1,1,False,False
35,frame_0076.jpg,30.4,0.4376,0.2672,0.4,0.92,4,2,False,False
36,frame_0079.jpg,31.6,0.4304,0.3007,0.4,0.8,3,2,False,False
37,frame_0208.jpg,83.2,0.4304,0.4369,0.2,0.76,2,1,False,False
38,frame_0287.jpg,114.8,0.4292,0.3463,0.4,0.68,5,2,False,False
39,frame_0071.jpg,28.4,0.4255,0.3311,0.2,1.0,4,1,False,False
40,frame_0374.jpg,149.6,0.4143,0.3887,0.6,0.2,4,3,False,False
41,frame_0068.jpg,27.2,0.4119,0.3038,0.2,1.0,3,1,False,False
42,frame_0377.jpg,150.8,0.4093,0.4107,0.6,0.12,7,3,False,False
43,frame_0032.jpg,12.8,0.4061,0.2921,0.2,1.0,5,1,False,False
44,frame_0211.jpg,84.4,0.4059,0.5558,0.0,0.64,2,0,False,False
45,frame_0232.jpg,92.8,0.3992,0.4785,0.4,0.2,3,2,False,False
46,frame_0230.jpg,92.0,0.3962,0.3845,0.6,0.12,4,3,False,False
47,frame_0075.jpg,30.0,0.3956,0.2872,0.2,0.96,4,1,False,False
48,frame_0030.jpg,12.0,0.3936,0.2671,0.2,1.0,4,1,False,False
49,frame_0316.jpg,126.4,0.3931,0.3623,0.6,0.16,5,3,False,False
50,frame_0279.jpg,111.6,0.3925,0.4009,0.4,0.36,4,2,False,False
51,frame_0319.jpg,127.6,0.3919,0.3119,0.6,0.28,4,3,False,False
52,frame_0384.jpg,153.6,0.3891,0.3541,0.6,0.16,3,3,False,False
53,frame_0329.jpg,131.6,0.3883,0.3847,0.6,0.08,7,3,False,False
54,frame_0275.jpg,110.0,0.385,0.3299,0.6,0.2,4,3,False,False
55,frame_0328.jpg,131.2,0.3838,0.3756,0.6,0.08,7,3,False,False
56,frame_0284.jpg,113.6,0.3829,0.3017,0.4,0.56,5,2,False,False
57,frame_0229.jpg,91.6,0.3792,0.3665,0.6,0.08,5,3,False,False
58,frame_0309.jpg,123.6,0.3779,0.3477,0.6,0.12,4,3,False,False
59,frame_0327.jpg,130.8,0.376,0.3761,0.6,0.04,6,3,False,False
60,frame_0000.jpg,0.0,0.3757,0.2314,0.2,1.0,5,1,False,False
61,frame_0278.jpg,111.2,0.3723,0.3766,0.4,0.32,5,2,False,False
62,frame_0115.jpg,46.0,0.3715,0.3751,0.4,0.32,3,2,False,False
63,frame_0132.jpg,52.8,0.3713,0.2226,0.2,1.0,3,1,False,False
64,frame_0295.jpg,118.0,0.3692,0.3464,0.2,0.68,2,1,False,False
65,frame_0397.jpg,158.8,0.3672,0.2945,0.6,0.2,5,3,False,False
66,frame_0002.jpg,0.8,0.3632,0.2063,0.2,1.0,4,1,False,False
67,frame_0315.jpg,126.0,0.3617,0.4353,0.4,0.12,5,2,False,False
